id,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
116,... < 0 DM,18,no credits taken/all credits paid back duly,others,6260,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,unknown / no property,28,none,for free,1,unskilled - resident,0 to 2,no,no,good
117,... < 0 DM,9,all credits at this bank paid back duly,car (used),1919,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,35,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good
118,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),2603,500 <= ... < 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good
119,... >= 200 DM / salary for at least 1 year,9,all credits at this bank paid back duly,repairs,936,100 <= ... <  500 DM,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,52,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
120,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (used),3062,100 <= ... <  500 DM,>= 7 yrs,< 20,none,4 <= ... < 7 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good
121,... < 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4795,unknown/no savings account,< 1 yr,< 20,none,< 1 yr,real estate,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
122,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,car (new),5842,unknown/no savings account,>= 7 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,35,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,good
123,... < 0 DM,6,no credits taken/all credits paid back duly,furniture/equipment,2063,unknown/no savings account,< 1 yr,< 20,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,30,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
124,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,furniture/equipment,1459,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,43,none,rent,1,unskilled - resident,0 to 2,no,no,good
125,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,furniture/equipment,1213,100 <= ... <  500 DM,>= 7 yrs,< 20,none,4 <= ... < 7 yrs,car or other,47,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
126,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,5103,unknown/no savings account,< 1 yr,20 <= ... < 25,none,4 <= ... < 7 yrs,real estate,47,none,own,4-5,skilled employee/official,0 to 2,yes (under customer name),no,good
127,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,radio/television,874,... >= 1000 DM,< 1 yr,< 20,none,< 1 yr,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
128,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),2978,100 <= ... <  500 DM,1 <= ... < 4 yrs,>= 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,32,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
129,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,others,1820,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,car or other,30,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
130,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2872,... <  100 DM,>= 7 yrs,20 <= ... < 25,none,>= 7 yrs,unknown / no property,36,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,good
131,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,car (used),1925,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
132,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (used),2515,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,>= 7 yrs,unknown / no property,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
133,0<= ... < 200 DM,6,no credits taken/all credits paid back duly,car (used),2116,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,1 <= ... < 4 yrs,unknown / no property,41,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
134,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,1453,unknown/no savings account,< 1 yr,20 <= ... < 25,none,< 1 yr,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,good
135,... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1364,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,64,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
136,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),1543,500 <= ... < 1000 DM,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,33,none,rent,1,skilled employee/official,0 to 2,no,no,good
137,... < 0 DM,12,no credits taken/all credits paid back duly,others,1318,500 <= ... < 1000 DM,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,54,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
138,no checking account,24,critical account/other credits elsewhere,others,2325,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,32,bank,rent,1,skilled employee/official,0 to 2,no,no,good
139,... < 0 DM,6,all credits at this bank paid back duly,vacation,932,... >= 1000 DM,4 <= ... < 7 yrs,>= 35,none,4 <= ... < 7 yrs,car or other,39,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
140,0<= ... < 200 DM,24,all credits at this bank paid back duly,furniture/equipment,3148,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
141,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,furniture/equipment,3835,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,unknown / no property,45,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good
142,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,repairs,3832,... >= 1000 DM,>= 7 yrs,>= 35,none,>= 7 yrs,unknown / no property,64,none,rent,1,unskilled - resident,0 to 2,no,no,good
143,... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,5084,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
144,... >= 200 DM / salary for at least 1 year,9,all credits at this bank paid back duly,car (used),2406,unknown/no savings account,unemployed,25 <= ... < 35,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,31,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,good
145,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,furniture/equipment,2394,... >= 1000 DM,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,25,none,rent,1,skilled employee/official,0 to 2,no,no,good
146,... >= 200 DM / salary for at least 1 year,21,no credits taken/all credits paid back duly,car (new),2476,... >= 1000 DM,>= 7 yrs,< 20,none,>= 7 yrs,unknown / no property,46,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
147,no checking account,24,no credits taken/all credits paid back duly,car (new),2964,... >= 1000 DM,>= 7 yrs,< 20,none,>= 7 yrs,real estate,49,bank,own,1,skilled employee/official,3 or more,yes (under customer name),no,good
148,no checking account,12,no credits taken/all credits paid back duly,car (used),1262,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,none,>= 7 yrs,car or other,49,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,good
149,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,retraining,1542,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
150,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,1743,unknown/no savings account,>= 7 yrs,< 20,none,1 <= ... < 4 yrs,car or other,48,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
151,0<= ... < 200 DM,12,critical account/other credits elsewhere,furniture/equipment,409,500 <= ... < 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,4 <= ... < 7 yrs,unknown / no property,42,none,for free,2-3,skilled employee/official,0 to 2,no,no,good
152,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,2171,unknown/no savings account,< 1 yr,25 <= ... < 35,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,good
153,... >= 200 DM / salary for at least 1 year,48,all credits at this bank paid back duly,car (new),8858,... >= 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,< 1 yr,real estate,35,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
154,... < 0 DM,24,no credits taken/all credits paid back duly,others,3512,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,38,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
155,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1158,100 <= ... <  500 DM,1 <= ... < 4 yrs,20 <= ... < 25,none,< 1 yr,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,good
156,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2684,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,35,none,rent,2-3,unskilled - resident,0 to 2,no,no,good
157,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,1498,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,< 1 yr,building soc. savings agr./life insurance,23,bank,rent,1,skilled employee/official,0 to 2,no,no,good
158,... >= 200 DM / salary for at least 1 year,30,all credits at this bank paid back duly,furniture/equipment,5954,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,co-applicant,1 <= ... < 4 yrs,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,good
159,... < 0 DM,48,critical account/other credits elsewhere,retraining,6416,unknown/no savings account,>= 7 yrs,< 20,none,4 <= ... < 7 yrs,real estate,59,none,for free,1,skilled employee/official,0 to 2,no,no,bad
160,... < 0 DM,12,all credits at this bank paid back duly,car (used),3617,unknown/no savings account,>= 7 yrs,>= 35,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,4-5,skilled employee/official,0 to 2,yes (under customer name),no,good
161,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,1291,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,car or other,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
162,0<= ... < 200 DM,24,all credits at this bank paid back duly,retraining,1275,500 <= ... < 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,none,>= 7 yrs,unknown / no property,36,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
163,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (used),3972,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,none,>= 7 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good
164,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,car (used),3343,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,real estate,28,none,own,1,skilled employee/official,0 to 2,yes (under customer name),no,good
165,0<= ... < 200 DM,15,no credits taken/all credits paid back duly,repairs,392,unknown/no savings account,< 1 yr,< 20,none,>= 7 yrs,car or other,23,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,good
166,... >= 200 DM / salary for at least 1 year,9,all credits at this bank paid back duly,others,2134,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,>= 7 yrs,building soc. savings agr./life insurance,48,none,rent,4-5,skilled employee/official,0 to 2,yes (under customer name),no,good
167,... >= 200 DM / salary for at least 1 year,30,all credits at this bank paid back duly,furniture/equipment,5771,unknown/no savings account,4 <= ... < 7 yrs,< 20,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,25,none,rent,2-3,skilled employee/official,0 to 2,no,no,good
168,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,retraining,4526,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,1 <= ... < 4 yrs,unknown / no property,74,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,good
169,... >= 200 DM / salary for at least 1 year,15,all credits at this bank paid back duly,car (used),2788,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,24,bank,rent,2-3,skilled employee/official,0 to 2,no,no,good
170,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1382,unknown/no savings account,1 <= ... < 4 yrs,>= 35,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,good
171,0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,5848,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,good
172,no checking account,12,no credits taken/all credits paid back duly,others,1228,unknown/no savings account,1 <= ... < 4 yrs,< 20,none,1 <= ... < 4 yrs,unknown / no property,24,none,rent,1,unskilled - resident,0 to 2,no,no,bad
173,0<= ... < 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1297,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,none,>= 7 yrs,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,good
